timeLog,xLog,yLog,zLog,thetaLog
1.0038594,0.271830952553368,0.0599329202732308,0.310616854701029,3.12437210200861
1.0931152,0.261330694104973,0.0837150486135584,0.328644370056585,-3.08347868830126
1.1412779,0.273661770007395,0.0784798771139738,0.301349025535359,-3.08888497983202
1.1703286,0.283484393454161,0.0737580553045042,0.273371982205549,-3.09426995915221
1.2007076,0.290767637118505,0.0695959648237863,0.244931761917385,-3.09963377909772
1.2295157,0.295498865440821,0.066035936964644,0.216249346675819,-3.10497658435532
1.2596061,0.297683760213009,0.0631157819067867,0.187546646402628,-3.11029851157105
1.2866245,0.297346215957607,0.0608683497213212,0.159044960648892,-3.11559968945106
1.3227497,0.294528106159405,0.0593211274164359,0.130963444843898,-3.1208802388554
1.3500916,0.289288922332803,0.0584958760315308,0.103517591635247,-3.12614027288458
1.379202,0.281705288817396,0.0584083114886354,0.076917737770924,-3.13137989695921
1.4056688,0.260406995618592,0.0604071995210433,0.0280000038668511,-3.14159265146261
2.6471046,0.260406995643856,0.0604071995291057,0.0280000038815672,-3.14159265151618
2.9052954,0.264212519933445,0.0536736346654022,0.0301615541881609,-3.09352140711604
2.9272936,0.267843802389589,0.0467996595039913,0.0323191793855869,-3.04545016271589
2.9518708,0.271296412008366,0.0397897934023954,0.0344728403682493,-2.99737891831575
2.9736947,0.274566035399411,0.0326486859221094,0.0366224981231168,-2.94930767391561
2.9956051,0.277648480468103,0.0253811137557365,0.0387681137304356,-2.90123642951547
3.0211844,0.280539680017138,0.0179919775522819,0.0409096483644394,-2.85316518511532
3.0417427,0.283235695264698,0.0104862986427262,0.0430470632940581,-2.80509394071518
3.0662726,0.287654029137997,-0.00354265298872188,0.0469501627637751,-2.7170687614139
3.0867935,0.28977725410433,-0.0113500380985146,0.0490757050195246,-2.66899751700141
3.1074613,0.291691453743864,-0.0192536735102561,0.0511969800757455,-2.62092627258893
3.1307335,0.293393356380204,-0.0272480040401596,0.0533139496687641,-2.57285502817644
3.1532974,0.294879837468515,-0.0353273747832654,0.0554265756336899,-2.52478378376396
3.17581,0.296147922474292,-0.0434860350064995,0.0575348199051085,-2.47671253935147
3.1974779,0.297194789649059,-0.0517181421223392,0.0596386445177737,-2.42864129493899
3.2215135,0.298017772700787,-0.0600177657403524,0.0617380116072965,-2.38057005052651
3.2451494,0.298614363356885,-0.0683788917938189,0.0638328834108311,-2.33249880611402
3.2644478,0.298982213817693,-0.0767954267385818,0.0659232222677608,-2.28442756170154
3.2844235,0.299119139098488,-0.0852612018212215,0.0680089906203792,-2.23635631728905
3.3094518,0.299023119258081,-0.093769977413591,0.0700901510145713,-2.18828507287657
3.3326682,0.298692301512166,-0.102315447410696,0.0721666661004908,-2.14021382846408
3.352606,0.298125002229678,-0.110891243688859,0.0742384986332347,-2.0921425840516
3.3753671,0.297319708810464,-0.119490940621052,0.0763056114735185,-2.04407133963911
3.4021267,0.296275081442687,-0.128108059646238,0.0783679675883455,-1.99600009522663
3.4277954,0.294989954738452,-0.13673607388953,0.0804255300516759,-1.94792885081414
3.4505457,0.293463339246229,-0.145368412829903,0.082478262045093,-1.89985760640166
3.4774483,0.291694422838733,-0.153998467012205,0.0845261268584668,-1.85178636198917
3.5013059,0.289682571975021,-0.162619592800118,0.0865690878906163,-1.80371511757669
3.5277614,0.287427332835631,-0.171225117166737,0.0886071086499673,-1.7556438731642
3.5563367,0.284928432329702,-0.179808342519376,0.0906401527552101,-1.70757262875172
3.5745198,0.282185778973094,-0.188362551555172,0.0926681839359538,-1.65950138433924
3.5948711,0.279199463636606,-0.196881012144069,0.094691166033378,-1.61143013992675
3.6168845,0.275969760163505,-0.205356982235686,0.0967090630008814,-1.56335889551427
3.6358631,0.272497125855661,-0.213783714786606,0.0987218389047307,-1.51528765110178
3.6541373,0.268782201827658,-0.222154462704547,0.100729457924704,-1.4672164066893
3.6747662,0.264825813228388,-0.230462483805915,0.102731884354732,-1.41914516227681
3.6942994,0.256599575203035,-0.246136232998752,0.106542967384796,-1.32730469728065
4.2024966,0.256599600191395,-0.246136221852818,0.106542988410176,-1.32730465248752
4.2201582,0.256599295149649,-0.246136408689471,0.106542683498014,-1.3271696817475
4.2393367,0.25659552574832,-0.246138717366059,0.106538915727905,-1.32550185634043
4.2827256,0.256582510096914,-0.246146688256794,0.106525906134846,-1.31974301275355
4.3049613,0.256555181661889,-0.246163419802832,0.106498592568551,-1.30765199337409
4.327284,0.256511053463148,-0.24619042364673,0.10645449451992,-1.2881298814735
4.3533863,0.256450635198215,-0.246227369655101,0.106394129827411,-1.26140449729963
4.3811146,0.256376857308847,-0.246272443784006,0.106320436604065,-1.22877490995866
4.402905,0.256293954802812,-0.246323038337233,0.106237654455943,-1.19211671976814
4.4225745,0.256206263303687,-0.246376493188654,0.10615011927349,-1.15334886576305
4.4433244,0.256117380600576,-0.246430608787547,0.106061425396163,-1.11406271303635
4.4740897,0.256030148293615,-0.246483655604408,0.10597440810804,-1.07551416502624
4.5033157,0.255947552385759,-0.246533824640073,0.105892042867656,-1.03902187857615
4.5209396,0.255872082459296,-0.246579615752932,0.105816806702877,-1.00568425650657
4.5406319,0.255804789484497,-0.24662040563146,0.105749740657211,-0.975963721014161
4.5641898,0.255745708706399,-0.246656186669878,0.105690873471824,-0.949874092212492
4.5828316,0.255694224045201,-0.246687343666612,0.105639585876503,-0.927141833743178
4.6008361,0.255649290981865,-0.246714517867982,0.105594833116813,-0.90730459864195
4.6179252,0.255609563620811,-0.246738529874688,0.105555271620653,-0.889767355804971
