timeLog,xLog,yLog,zLog,thetaLog
1.2291089,0.271830952553368,0.0599329202732308,0.310616854701029,3.12437210200861
1.3708489,0.256159636674859,0.0427321363740103,0.315099098204019,3.08584339160511
1.418741,0.267533275947977,0.0406640551652341,0.289127690841751,3.09085395754255
1.4548736,0.276754499657219,0.0393682598416735,0.262648181773962,3.0958617434758
1.4917378,0.283791604881928,0.0388363098588206,0.235843232866434,3.10086665106102
1.5454797,0.288626554245646,0.0390550457233132,0.208896983114748,3.10586858185881
1.5846211,0.291255101757835,0.0400067456138005,0.181993925136996,3.1108674373449
1.6168014,0.291686834016544,0.0416693100473604,0.155317779655656,3.11586311892088
1.6529416,0.289945126382348,0.0440164730275319,0.129050374802138,3.12085552792495
1.7026932,0.286067014258042,0.0470180379488202,0.103370537048199,3.12584456564263
1.740514,0.280102980132756,0.0506401363845174,0.0784530004978047,3.13083013331754
1.7821325,0.272116657570056,0.0548455077507504,0.0544673411615486,3.13581213216212
1.8181535,0.260406995618592,0.0604071995210433,0.0280000038668511,-3.14159265146261
3.2566267,0.260406995332403,0.0604071996357351,0.0280000037172485,-3.14159264881117
3.605339,0.272028395318914,0.0464310068919079,0.0337090415182108,3.04948020779216
3.6388045,0.283011389774856,0.0315761812127129,0.039213115348662,2.95736775721591
3.6666933,0.293297656840138,0.0158707942132299,0.0445099764115877,2.86525530663966
3.6968039,0.302830126514068,-0.000653331926857396,0.0495974907919175,2.7731428560634
3.7247568,0.311553220014639,-0.0179606832842101,0.054473640601933,2.68103040548715
3.7517914,0.319413086130652,-0.0360121282720487,0.0591365250635703,2.5889179549109
3.7871285,0.326357833593407,-0.0547650068094691,0.0635843615270271,2.49680550433465
3.8198718,0.332337758505271,-0.0741732343475802,0.0678154864251235,2.40469305375839
3.8533459,0.337305565876999,-0.0941874204587689,0.0718283561628986,2.31258060318214
3.8803266,0.343864991663087,-0.134297008429672,0.0789453956993468,2.13495002404627
3.906056,0.345622590508517,-0.15577229151284,0.082311391025165,2.04283757290314
3.9314194,0.346209591422527,-0.177630236083584,0.0854542435564411,1.95072512176001
3.9568898,0.345593548238363,-0.199807356020356,0.0883730117509486,1.85861267061688
3.9859366,0.343745567301305,-0.222237838354512,0.0910668779585992,1.76650021947375
4.0077044,0.340640464113133,-0.244853749926467,0.0935351488509834,1.67438776833062
4.0352156,0.336256907524938,-0.267585254264709,0.0957772557832993,1.58227531718749
4.0614559,0.330577550822887,-0.290360837916263,0.0977927550884741,1.49016286604436
4.0836877,0.323589149100309,-0.313107545415718,0.0995813283033199,1.39805041490123
4.1117761,0.3152826623608,-0.33575122204148,0.101142782326598,1.3059379637581
4.1354238,0.305653343850897,-0.358216763472763,0.102477049508908,1.21382551261497
4.1662086,0.294700813176781,-0.380428371429187,0.103584187674358,1.12171306147184
4.193451,0.282429113817485,-0.402309814346674,0.104464380073992,1.02960061032871
4.2250145,0.2560379675447,-0.441991011319264,0.10550106974137,0.857734388767404
4.5587734,0.256037967544777,-0.44199101131905,0.105501069741568,0.857734388769204
4.578675,0.25603784391663,-0.441991179790303,0.105500956448479,0.857749247302138
4.6043221,0.25603614048756,-0.441993501077522,0.105499395427917,0.85795397671682
4.6286216,0.256029414815049,-0.442002665895155,0.105493232126467,0.858762292224488
4.6598291,0.256012940947162,-0.442025111829537,0.105478136388477,0.860742042957829
4.6808818,0.255981316887857,-0.442068190706355,0.105449160472836,0.864541922506396
4.7085025,0.255928884495116,-0.442139587685935,0.105401126253807,0.870840498000759
4.7384512,0.255850015251414,-0.442246919317758,0.105328890560903,0.880311138527892
4.7640939,0.255739315725093,-0.442397438048907,0.10522753774273,0.893596423660294
4.7918421,0.255591806877858,-0.442597770914192,0.105092548655094,0.911285612881338
4.8164515,0.255403131815132,-0.442853620445429,0.104919995425103,0.933888756689359
4.8419092,0.255169847293353,-0.443169356349838,0.104706811589467,0.961801030162975
4.867895,0.254889855423327,-0.443547427324105,0.104451187592161,0.995250869770133
4.9004515,0.254563033569817,-0.443987523523434,0.104153142164456,1.0342254942034
4.9508681,0.254192122277078,-0.444485421588738,0.103815320741946,1.07836739002395
4.9804324,0.253783900296965,-0.445031488572233,0.103444043232638,1.12683917821598
5.0073565,0.253348471335821,-0.445611752474017,0.103048623331502,1.17841501860105
5.0382245,0.252895142717592,-0.446213478006614,0.102637603064548,1.23197356647611
5.0644081,0.252433741391982,-0.446823432321104,0.102219942743209,1.28634317700657
5.0879747,0.25197654851023,-0.447425368056737,0.101806761334391,1.34007622006906
5.1203186,0.251538467444577,-0.447999865894898,0.101411471232974,1.39143292936059
5.1442508,0.251135838572565,-0.448525922138478,0.101048700107335,1.43852218681207
5.1752273,0.250784361602978,-0.448983629022987,0.100732428525799,1.4795425017327
5.2124515,0.250496605504471,-0.44935730960283,0.10047377871154,1.51306644411175
5.2366696,0.250279606597464,-0.449638484518748,0.100278896850327,1.53831179150424
5.2643473,0.250133069247326,-0.44982805873899,0.100147376180355,1.55534264892728
5.2978837,0.250048684282018,-0.449937117219491,0.100071668344869,1.56514380119325
5.3247913,0.250011066603277,-0.449985708222362,0.10003792577871,1.56951155710681
5.3493249,0.250000792261874,-0.449998976892943,0.100028710574862,1.57070434495191
5.3784304,0.250000000001641,-0.44999999999834,0.100027999998609,1.57079631869553
5.4889892,0.249999999999998,-0.450000000000023,0.0250280000000064,1.57079632371111
5.5153,0.249999999999998,-0.450000000000023,0.0250280000000064,1.57079632371111
5.5365391,0.249999999999998,-0.450000000000023,0.0250280000000064,1.57079632371111
